Kích_thước,Chiều_dài,Chu_vi,Màu_sắc,Chất_liệu,Kiểu_dáng,Họa_tiết,Phụ_kiện,Độ_dày,Tính_năng_đặc_biệt,Lứa_tuổi
3T,72,60,Đỏ,Nỉ,Áo thun,Trơn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
4T,72,52,Đỏ,Cotton,Áo hoodie,Trơn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
2T,77,58,Xanh,Nỉ,Áo thun,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
3T,87,55,Vàng,Cotton,Áo thun,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
4T,73,60,Hồng,Nỉ,Áo hoodie,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
2T,84,56,Hồng,Nỉ,Áo hoodie,Sọc,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
3T,87,58,Xanh,Cotton,Áo thun,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
4T,80,55,Xanh,Nỉ,Bộ liền,Hoa văn,Không,Mỏng,Chống nước,Trẻ tập đi
2T,86,57,Vàng,Nỉ,Áo thun,Trơn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
3T,81,52,Vàng,Cotton,Áo hoodie,Sọc,Không,Vừa,Chống nước,Trẻ tập đi
4T,74,57,Xanh,Cotton,Áo thun,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ tập đi
2T,87,56,Hồng,Len,Áo thun,Trơn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
3T,84,59,Vàng,Len,Bộ liền,Sọc,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
4T,87,58,Xanh,Len,Áo hoodie,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
2T,73,57,Đỏ,Nỉ,Áo thun,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
3T,90,53,Đỏ,Cotton,Bộ liền,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,78,54,Xanh,Len,Áo hoodie,Trơn,Không,Mỏng,Thoáng khí,Trẻ tập đi
2T,71,53,Đỏ,Len,Áo hoodie,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,84,50,Hồng,Nỉ,Bộ liền,Hoa văn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
4T,73,50,Đỏ,Len,Bộ liền,Sọc,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
2T,90,57,Xanh,Cotton,Áo hoodie,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
3T,74,55,Vàng,Cotton,Áo thun,Trơn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
4T,82,59,Vàng,Nỉ,Áo hoodie,Sọc,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
2T,72,50,Vàng,Len,Áo thun,Sọc,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
3T,90,54,Xanh,Cotton,Áo hoodie,Trơn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
4T,79,56,Xanh,Nỉ,Áo thun,Hoa văn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
2T,89,51,Đỏ,Cotton,Áo thun,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,86,51,Vàng,Len,Bộ liền,Hoa văn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
4T,84,52,Vàng,Len,Áo hoodie,Hoa văn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
2T,72,54,Đỏ,Len,Bộ liền,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,89,53,Xanh,Len,Áo hoodie,Hoa văn,Không,Vừa,Thoáng khí,Trẻ tập đi
4T,80,55,Vàng,Cotton,Áo thun,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
2T,86,52,Vàng,Cotton,Bộ liền,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
3T,88,56,Vàng,Len,Áo hoodie,Sọc,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
4T,76,54,Hồng,Nỉ,Bộ liền,Trơn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
2T,83,57,Vàng,Len,Bộ liền,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,71,55,Hồng,Cotton,Bộ liền,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
4T,85,51,Hồng,Nỉ,Áo thun,Sọc,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
2T,71,51,Đỏ,Cotton,Áo hoodie,Trơn,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,86,57,Xanh,Cotton,Bộ liền,Trơn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
4T,80,52,Vàng,Nỉ,Áo thun,Trơn,Không,Mỏng,Thoáng khí,Trẻ tập đi
2T,74,52,Vàng,Len,Áo hoodie,Trơn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
3T,77,55,Đỏ,Nỉ,Bộ liền,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
4T,87,57,Vàng,Nỉ,Áo thun,Sọc,Không,Vừa,Chống nước,Trẻ tập đi
2T,77,54,Vàng,Cotton,Áo hoodie,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,78,50,Hồng,Len,Áo thun,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
4T,76,53,Xanh,Nỉ,Áo hoodie,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,84,60,Xanh,Cotton,Áo hoodie,Hoa văn,Không,Mỏng,Chống nước,Trẻ tập đi
3T,83,57,Vàng,Nỉ,Bộ liền,Sọc,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
4T,74,50,Xanh,Cotton,Áo thun,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
2T,74,59,Xanh,Nỉ,Áo thun,Hoa văn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
3T,85,57,Đỏ,Len,Áo thun,Trơn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
4T,80,58,Vàng,Nỉ,Áo thun,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,72,55,Vàng,Len,Áo hoodie,Hoa văn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
3T,87,54,Đỏ,Cotton,Áo thun,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
4T,81,57,Hồng,Len,Bộ liền,Trơn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
2T,81,50,Vàng,Nỉ,Bộ liền,Sọc,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
3T,75,59,Hồng,Nỉ,Áo hoodie,Hoa văn,Không,Mỏng,Chống nước,Trẻ tập đi
4T,75,52,Đỏ,Cotton,Áo thun,Hoa văn,Không,Vừa,Thoáng khí,Trẻ tập đi
2T,88,50,Đỏ,Len,Áo hoodie,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
3T,74,57,Xanh,Len,Bộ liền,Hoa văn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
4T,77,58,Đỏ,Cotton,Bộ liền,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,79,59,Hồng,Len,Bộ liền,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,80,55,Hồng,Nỉ,Áo hoodie,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,72,53,Hồng,Len,Áo hoodie,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
2T,79,60,Hồng,Len,Áo hoodie,Trơn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
3T,89,58,Đỏ,Len,Áo hoodie,Trơn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,80,59,Hồng,Len,Áo thun,Hoa văn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
2T,81,58,Xanh,Len,Áo hoodie,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,84,55,Đỏ,Nỉ,Bộ liền,Trơn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
4T,90,55,Vàng,Len,Áo hoodie,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
2T,78,52,Hồng,Nỉ,Áo hoodie,Hoa văn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
3T,87,52,Xanh,Len,Áo thun,Sọc,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
4T,85,56,Đỏ,Nỉ,Bộ liền,Sọc,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
2T,88,50,Xanh,Nỉ,Áo thun,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,85,56,Hồng,Len,Áo hoodie,Trơn,Không,Vừa,Chống nước,Trẻ tập đi
4T,77,51,Vàng,Len,Bộ liền,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
2T,73,60,Đỏ,Nỉ,Áo hoodie,Trơn,Không,Vừa,Chống nước,Trẻ tập đi
3T,87,54,Đỏ,Cotton,Áo hoodie,Sọc,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
4T,82,55,Xanh,Nỉ,Áo thun,Hoa văn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
2T,87,54,Vàng,Nỉ,Bộ liền,Sọc,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
3T,78,51,Hồng,Cotton,Áo thun,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,86,60,Hồng,Len,Áo thun,Hoa văn,Không,Mỏng,Chống nước,Trẻ tập đi
2T,85,59,Vàng,Nỉ,Bộ liền,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,86,54,Vàng,Len,Áo thun,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
4T,85,56,Đỏ,Len,Áo hoodie,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
2T,87,52,Đỏ,Nỉ,Áo thun,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,82,56,Hồng,Nỉ,Áo thun,Hoa văn,Không,Vừa,Chống nước,Trẻ tập đi
4T,72,50,Xanh,Len,Áo hoodie,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
2T,77,58,Vàng,Len,Áo thun,Trơn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
3T,80,54,Đỏ,Len,Áo hoodie,Trơn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
4T,83,51,Hồng,Len,Áo hoodie,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,85,50,Hồng,Cotton,Bộ liền,Trơn,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,79,56,Xanh,Cotton,Áo thun,Trơn,Không,Vừa,Chống nước,Trẻ tập đi
4T,86,58,Đỏ,Cotton,Áo hoodie,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
2T,82,54,Đỏ,Nỉ,Áo thun,Trơn,Không,Vừa,Chống nước,Trẻ tập đi
3T,90,60,Đỏ,Cotton,Áo thun,Sọc,Không,Mỏng,Chống nước,Trẻ tập đi
4T,89,58,Xanh,Len,Áo hoodie,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
2T,74,54,Đỏ,Nỉ,Áo thun,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,74,55,Hồng,Nỉ,Bộ liền,Sọc,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
4T,79,55,Xanh,Len,Bộ liền,Sọc,Không,Vừa,Chống nước,Trẻ tập đi
2T,80,52,Vàng,Len,Áo hoodie,Trơn,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,87,59,Hồng,Cotton,Bộ liền,Hoa văn,Không,Mỏng,Chống nước,Trẻ tập đi
4T,72,56,Hồng,Nỉ,Áo hoodie,Hoa văn,Không,Mỏng,Chống nước,Trẻ tập đi
2T,72,50,Đỏ,Len,Áo hoodie,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
3T,84,54,Đỏ,Cotton,Áo hoodie,Sọc,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
4T,83,50,Xanh,Cotton,Áo hoodie,Trơn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
2T,70,53,Đỏ,Len,Áo hoodie,Sọc,Không,Mỏng,Chống nước,Trẻ tập đi
3T,86,58,Vàng,Cotton,Áo thun,Hoa văn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
4T,71,52,Xanh,Cotton,Áo hoodie,Trơn,Không,Vừa,Thoáng khí,Trẻ tập đi
2T,75,60,Đỏ,Nỉ,Áo thun,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,90,60,Xanh,Len,Bộ liền,Trơn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
4T,80,52,Xanh,Len,Áo hoodie,Sọc,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,90,58,Hồng,Len,Áo hoodie,Hoa văn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,79,60,Xanh,Len,Áo thun,Trơn,Không,Vừa,Thoáng khí,Trẻ tập đi
4T,87,51,Đỏ,Len,Áo thun,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
2T,80,58,Hồng,Nỉ,Bộ liền,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
3T,77,51,Hồng,Nỉ,Áo thun,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ tập đi
4T,77,56,Xanh,Nỉ,Bộ liền,Trơn,Không,Mỏng,Thoáng khí,Trẻ tập đi
2T,70,53,Xanh,Nỉ,Bộ liền,Trơn,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,77,53,Hồng,Len,Áo hoodie,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,87,55,Xanh,Cotton,Bộ liền,Trơn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,72,59,Xanh,Len,Bộ liền,Sọc,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
3T,89,50,Vàng,Nỉ,Bộ liền,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
4T,79,54,Xanh,Nỉ,Áo thun,Hoa văn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
2T,78,52,Hồng,Cotton,Bộ liền,Sọc,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
3T,84,54,Hồng,Nỉ,Áo thun,Hoa văn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
4T,80,58,Xanh,Len,Áo thun,Hoa văn,Không,Vừa,Chống nước,Trẻ tập đi
2T,81,50,Xanh,Cotton,Bộ liền,Trơn,Không,Mỏng,Chống nước,Trẻ tập đi
3T,89,55,Hồng,Len,Bộ liền,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
4T,76,55,Vàng,Nỉ,Bộ liền,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
2T,77,55,Hồng,Len,Bộ liền,Trơn,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,85,51,Đỏ,Len,Bộ liền,Hoa văn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
4T,87,58,Hồng,Cotton,Áo thun,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
2T,83,52,Vàng,Len,Áo thun,Hoa văn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
3T,75,52,Đỏ,Cotton,Áo thun,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ tập đi
4T,78,54,Đỏ,Nỉ,Bộ liền,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
2T,89,52,Hồng,Nỉ,Bộ liền,Trơn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
3T,78,56,Đỏ,Nỉ,Áo hoodie,Sọc,Không,Mỏng,Chống nước,Trẻ tập đi
4T,74,51,Hồng,Nỉ,Bộ liền,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,72,54,Xanh,Cotton,Áo thun,Hoa văn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
3T,74,57,Vàng,Cotton,Bộ liền,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
4T,71,52,Vàng,Cotton,Áo thun,Sọc,Không,Vừa,Chống nước,Trẻ tập đi
2T,85,56,Đỏ,Len,Áo thun,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,79,50,Hồng,Cotton,Áo thun,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
4T,79,56,Đỏ,Nỉ,Bộ liền,Hoa văn,Không,Vừa,Chống nước,Trẻ tập đi
2T,73,56,Xanh,Cotton,Bộ liền,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,73,53,Vàng,Len,Áo thun,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
4T,85,60,Đỏ,Cotton,Áo hoodie,Trơn,Không,Vừa,Thoáng khí,Trẻ tập đi
2T,76,50,Đỏ,Cotton,Bộ liền,Trơn,Không,Mỏng,Chống nước,Trẻ tập đi
3T,87,50,Xanh,Len,Bộ liền,Sọc,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
4T,87,54,Hồng,Len,Áo hoodie,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
2T,71,60,Hồng,Len,Áo thun,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
3T,88,60,Vàng,Cotton,Áo hoodie,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
4T,90,58,Vàng,Len,Áo hoodie,Sọc,Không,Mỏng,Chống nước,Trẻ tập đi
2T,85,53,Hồng,Len,Áo thun,Trơn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
3T,79,53,Vàng,Nỉ,Bộ liền,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
4T,77,60,Hồng,Cotton,Áo hoodie,Hoa văn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
2T,84,57,Hồng,Nỉ,Áo thun,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,74,51,Xanh,Len,Áo hoodie,Hoa văn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
4T,89,51,Hồng,Cotton,Áo thun,Hoa văn,Không,Vừa,Chống nước,Trẻ tập đi
2T,89,51,Đỏ,Nỉ,Áo hoodie,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,89,59,Hồng,Len,Áo thun,Hoa văn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
4T,81,59,Vàng,Nỉ,Áo hoodie,Trơn,Không,Vừa,Chống nước,Trẻ tập đi
2T,72,50,Đỏ,Len,Bộ liền,Sọc,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
3T,81,54,Vàng,Nỉ,Áo thun,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
4T,71,59,Xanh,Cotton,Bộ liền,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
2T,83,56,Xanh,Nỉ,Áo hoodie,Trơn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
3T,89,54,Vàng,Nỉ,Bộ liền,Sọc,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
4T,83,57,Vàng,Nỉ,Áo hoodie,Hoa văn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
2T,87,59,Đỏ,Len,Áo thun,Hoa văn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,76,58,Đỏ,Nỉ,Bộ liền,Sọc,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
4T,81,57,Hồng,Len,Bộ liền,Trơn,Không,Vừa,Thoáng khí,Trẻ tập đi
2T,81,54,Hồng,Cotton,Áo hoodie,Trơn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
3T,72,58,Vàng,Nỉ,Áo hoodie,Trơn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
4T,79,51,Đỏ,Cotton,Bộ liền,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
2T,80,51,Xanh,Nỉ,Áo thun,Trơn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
3T,81,54,Đỏ,Len,Áo thun,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,78,56,Đỏ,Nỉ,Áo hoodie,Hoa văn,Không,Mỏng,Chống nước,Trẻ tập đi
2T,79,60,Xanh,Nỉ,Áo hoodie,Hoa văn,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,87,53,Hồng,Len,Áo hoodie,Trơn,Không,Vừa,Chống nước,Trẻ tập đi
4T,85,55,Xanh,Cotton,Áo hoodie,Trơn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,78,50,Đỏ,Len,Áo hoodie,Sọc,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
3T,89,56,Hồng,Nỉ,Áo thun,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
4T,90,52,Vàng,Len,Áo thun,Hoa văn,Không,Vừa,Thoáng khí,Trẻ tập đi
2T,84,59,Hồng,Len,Bộ liền,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,71,52,Vàng,Nỉ,Áo thun,Sọc,Không,Mỏng,Thoáng khí,Trẻ tập đi
4T,74,51,Đỏ,Nỉ,Áo hoodie,Sọc,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
2T,89,60,Đỏ,Nỉ,Bộ liền,Hoa văn,Không,Mỏng,Thoáng khí,Trẻ tập đi
3T,84,58,Đỏ,Len,Áo thun,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,81,60,Đỏ,Cotton,Bộ liền,Hoa văn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
2T,78,52,Hồng,Len,Bộ liền,Sọc,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
3T,82,56,Đỏ,Len,Áo hoodie,Trơn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
4T,79,53,Hồng,Cotton,Áo thun,Hoa văn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
2T,74,60,Vàng,Nỉ,Bộ liền,Hoa văn,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
3T,86,51,Đỏ,Cotton,Bộ liền,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
4T,71,52,Đỏ,Nỉ,Áo hoodie,Hoa văn,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,80,57,Hồng,Cotton,Áo thun,Hoa văn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,76,60,Xanh,Len,Bộ liền,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
4T,78,50,Xanh,Cotton,Áo thun,Sọc,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
2T,79,59,Vàng,Nỉ,Áo thun,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
3T,85,50,Vàng,Nỉ,Áo thun,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,75,55,Xanh,Nỉ,Bộ liền,Sọc,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
2T,75,50,Vàng,Len,Bộ liền,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,86,52,Hồng,Nỉ,Áo thun,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
4T,82,55,Đỏ,Len,Áo hoodie,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
2T,85,58,Đỏ,Len,Bộ liền,Hoa văn,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,87,52,Vàng,Nỉ,Bộ liền,Trơn,Không,Vừa,Thoáng khí,Trẻ tập đi
4T,76,59,Vàng,Len,Bộ liền,Hoa văn,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
2T,80,52,Vàng,Nỉ,Áo hoodie,Hoa văn,Không,Vừa,Chống nước,Trẻ tập đi
3T,77,51,Xanh,Cotton,Áo thun,Sọc,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
4T,72,54,Vàng,Len,Áo thun,Hoa văn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
2T,70,58,Hồng,Len,Bộ liền,Sọc,Không,Vừa,Thoáng khí,Trẻ tập đi
3T,82,52,Đỏ,Len,Bộ liền,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
4T,90,56,Đỏ,Nỉ,Áo hoodie,Sọc,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
2T,79,57,Đỏ,Nỉ,Áo thun,Trơn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
3T,88,58,Vàng,Nỉ,Áo hoodie,Trơn,Không,Mỏng,Thoáng khí,Trẻ tập đi
4T,84,59,Đỏ,Cotton,Bộ liền,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
2T,90,60,Xanh,Cotton,Áo thun,Hoa văn,Không,Vừa,Chống nước,Trẻ tập đi
3T,86,54,Xanh,Len,Áo hoodie,Sọc,Mũ trùm,Mỏng,Thoáng khí,Trẻ tập đi
4T,79,51,Đỏ,Len,Áo thun,Sọc,Không,Mỏng,Chống nước,Trẻ tập đi
2T,80,60,Vàng,Len,Bộ liền,Sọc,Không,Mỏng,Chống nước,Trẻ tập đi
3T,71,54,Hồng,Cotton,Áo hoodie,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
4T,74,56,Đỏ,Nỉ,Áo thun,Hoa văn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
2T,84,52,Đỏ,Len,Bộ liền,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
3T,84,53,Xanh,Cotton,Áo thun,Hoa văn,Không,Vừa,Thoáng khí,Trẻ tập đi
4T,80,53,Xanh,Nỉ,Áo hoodie,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
2T,89,50,Đỏ,Cotton,Áo hoodie,Hoa văn,Khóa kéo,Vừa,Chống nước,Trẻ tập đi
3T,86,60,Đỏ,Len,Bộ liền,Trơn,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
4T,76,54,Vàng,Nỉ,Áo thun,Hoa văn,Không,Vừa,Thoáng khí,Trẻ tập đi
2T,75,59,Hồng,Nỉ,Áo thun,Sọc,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
3T,89,50,Vàng,Len,Áo hoodie,Trơn,Mũ trùm,Vừa,Thoáng khí,Trẻ tập đi
4T,83,51,Xanh,Len,Bộ liền,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
2T,81,53,Hồng,Cotton,Áo thun,Sọc,Mũ trùm,Vừa,Chống nước,Trẻ tập đi
3T,75,52,Xanh,Nỉ,Bộ liền,Sọc,Khóa kéo,Vừa,Thoáng khí,Trẻ tập đi
4T,83,52,Đỏ,Cotton,Bộ liền,Hoa văn,Khóa kéo,Mỏng,Thoáng khí,Trẻ tập đi
2T,89,60,Xanh,Len,Áo thun,Sọc,Mũ trùm,Mỏng,Chống nước,Trẻ tập đi
3T,88,58,Vàng,Len,Bộ liền,Trơn,Khóa kéo,Mỏng,Chống nước,Trẻ tập đi
